Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       43     0.00     0.00  std::vector<funcionario, std::allocator<funcionario> >::size() const
  0.00      0.00     0.00       32     0.00     0.00  std::vector<funcionario, std::allocator<funcionario> >::operator[](unsigned long)
  0.00      0.00     0.00       18     0.00     0.00  std::move_iterator<funcionario*>::base() const
  0.00      0.00     0.00       18     0.00     0.00  std::vector<empresa, std::allocator<empresa> >::operator[](unsigned long)
  0.00      0.00     0.00       14     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00       13     0.00     0.00  std::vector<empresa, std::allocator<empresa> >::size() const
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<funcionario*, std::vector<funcionario, std::allocator<funcionario> > >::base() const
  0.00      0.00     0.00       12     0.00     0.00  std::_Vector_base<funcionario, std::allocator<funcionario> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       12     0.00     0.00  std::move_iterator<funcionario*>::move_iterator(funcionario*)
  0.00      0.00     0.00       12     0.00     0.00  std::move_iterator<funcionario*> std::__make_move_if_noexcept_iterator<funcionario, std::move_iterator<funcionario*> >(funcionario*)
  0.00      0.00     0.00       11     0.00     0.00  funcionario::~funcionario()
  0.00      0.00     0.00       11     0.00     0.00  funcionario const& std::forward<funcionario const&>(std::remove_reference<funcionario const&>::type&)
  0.00      0.00     0.00       10     0.00     0.00  funcionario* std::__addressof<funcionario>(funcionario&)
  0.00      0.00     0.00        9     0.00     0.00  funcionario::get_Salario()
  0.00      0.00     0.00        9     0.00     0.00  funcionario::get_Nome[abi:cxx11]()
  0.00      0.00     0.00        9     0.00     0.00  empresa::get_CNPJ[abi:cxx11]()
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<funcionario>::max_size() const
  0.00      0.00     0.00        9     0.00     0.00  bool std::operator==<funcionario*>(std::move_iterator<funcionario*> const&, std::move_iterator<funcionario*> const&)
  0.00      0.00     0.00        9     0.00     0.00  bool std::operator!=<funcionario*>(std::move_iterator<funcionario*> const&, std::move_iterator<funcionario*> const&)
  0.00      0.00     0.00        8     0.00     0.00  date::transform_in_days()
  0.00      0.00     0.00        8     0.00     0.00  date::set_day(int const&)
  0.00      0.00     0.00        8     0.00     0.00  date::set_year(int const&)
  0.00      0.00     0.00        8     0.00     0.00  date::set_month(int const&)
  0.00      0.00     0.00        8     0.00     0.00  date::date()
  0.00      0.00     0.00        8     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<funcionario, std::allocator<funcionario> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        7     0.00     0.00  void std::_Destroy<funcionario>(funcionario*)
  0.00      0.00     0.00        6     0.00     0.00  funcionario::get_CPF[abi:cxx11]()
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<funcionario*, std::vector<funcionario, std::allocator<funcionario> > >::__normal_iterator(funcionario* const&)
  0.00      0.00     0.00        6     0.00     0.00  std::vector<funcionario, std::allocator<funcionario> >::max_size() const
  0.00      0.00     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<funcionario> >::max_size(std::allocator<funcionario> const&)
  0.00      0.00     0.00        6     0.00     0.00  funcionario* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<funcionario*>, funcionario*>(std::move_iterator<funcionario*>, std::move_iterator<funcionario*>, funcionario*)
